country_list,20200701,20200702,20200703,20200704,20200705,20200706,20200707,20200708,20200709,20200710,20200711,20200712,20200713,20200714,20200715,20200716,20200717,20200718,20200719,20200720,20200721,20200722,20200723,20200724,20200725,20200726,20200727,20200728,20200729,20200730,20200731,20200801,20200802,20200803,20200804,20200805,20200806,20200807,20200808,20200809,20200810,20200811,20200812,20200813,20200814,20200815,20200816,20200817,20200818,20200819,20200820,20200821,20200822,20200823,20200824,20200825,20200826,20200827,20200828,20200829,20200830,20200831,20200901,20200902,20200903,20200904,20200905,20200906,20200907,20200908,20200909,20200910,20200911,20200912,20200913,20200914,20200915,20200916,20200917,20200918,20200919,20200920,20200921,20200922,20200923,20200924,20200925,20200926,20200927,20200928,20200929,20200930,20201001,20201002,20201003,20201004,20201005,20201006,20201007,20201008,20201009,20201010,20201011,20201012,20201013,20201014,20201015,20201016,20201017,20201018,20201019,20201020,20201021,20201022,20201023,20201024,20201025,20201026,20201027,20201028,20201029,20201030,20201031,20201101,20201102,20201103,20201104,20201105,20201106,20201107,20201108,20201109,20201110,20201111,20201112,20201113,20201114,20201115,20201116,20201117,20201118,20201119,20201120,20201121,20201122,20201123,20201124,20201125,20201126,20201127,20201128,20201129,20201130,20201201,20201202,20201203,20201204,20201205,20201206,20201207,20201208,20201209,20201210,20201211,20201212,20201213,20201214,20201215,20201216,20201217,20201218,20201219,20201220,20201221,20201222,20201223,20201224,20201225,20201226,20201227,20201228,20201229,20201230,20201231
Aruba,964.7265984,974.092876,974.092876,983.4591537,983.4591537,983.4591537,983.4591537,983.4591537,983.4591537,983.4591537,983.4591537,983.4591537,983.4591537,992.8254313,992.8254313,1011.557987,1039.65682,1039.65682,1058.389375,1077.12193,1095.854486,1095.854486,1095.854486,1105.220763,1114.587041,1114.587041,1114.587041,1114.587041,1114.587041,1123.953318,1133.319596,1133.319596,1142.685874,1161.418429,1236.34865,1601.633479,2463.331023,3709.045951,4767.435326,5273.214319,5900.754922,6715.621078,7474.289568,8373.452223,9113.388157,9815.858981,10321.63797,10499.59725,11286.36457,12138.69584,12991.02711,13712.23049,14367.86992,14686.32336,15248.30002,15641.68368,16484.64867,17308.8811,17852.12521,18498.39837,18704.45647,18788.75297,19706.64818,20708.83989,21467.50838,22085.68271,22741.32214,22938.01397,23247.10114,24249.29285,25569.938,26403.53671,27143.47264,28042.6353,28529.68173,28660.80962,29522.50717,31170.97203,31676.75103,32407.32068,32407.32068,33259.65195,33596.83794,34327.4076,34851.91915,35179.73887,35582.48881,35891.57597,36003.9713,36266.22708,36846.93629,37118.55834,37446.37806,37821.02917,38158.21516,38205.04655,38345.54072,38476.6686,38710.82554,38870.05226,39029.27898,39225.97081,39282.16848,39310.26731,39609.9882,39853.51142,40134.49975,40171.96486,40312.45902,40481.05202,40593.44735,40790.13918,40921.26707,41108.59262,41220.98795,41305.28445,41398.94723,41417.67979,41558.17395,41726.76695,41885.99367,42092.05178,42270.01105,42326.20872,42373.04011,42504.16799,42644.66216,42747.69121,42878.8191,42981.84815,43084.87721,43141.07487,43290.93532,43375.23182,43450.16204,43553.19109,43628.12131,43665.58642,43721.78409,43796.71431,43881.01081,43955.94103,44002.77242,44246.29564,44311.85958,44368.05725,44499.18513,44752.07463,44873.83624,45033.06296,45267.2199,45314.05129,45379.61523,45632.50473,45913.49306,46110.18489,46288.14417,46428.63833,46503.56855,46512.93483,46681.52783,46793.92316,46934.41732,47121.74288,47243.50449,47290.33587,47355.89982,47571.3242,47824.2137,47992.8067,48123.93459,48283.16131,48358.09153,48479.85314,48695.27752,48966.89957,49238.52163,49341.55068,49519.50996,49688.10295,49856.69595,50325.00983,50971.28299,51411.49804
Afghanistan,817.5534632,822.3314731,830.0893172,839.0288196,846.1958345,852.3353204,857.3188362,862.7133635,870.7794663,878.1262988,882.5446736,884.7281727,888.6841594,892.1520699,898.6768791,900.6291843,904.7136121,906.2549056,910.7246569,911.7521859,914.6292671,917.5063484,922.6696817,924.2109752,925.4440101,928.5522853,931.2752372,933.9725009,936.6697646,938.4422521,941.8587861,942.757874,942.7835622,943.7083384,944.6331145,945.8404611,948.6147894,950.618471,951.646,952.5964644,954.3946401,957.1432803,959.0955854,961.3047728,963.2313897,964.3873598,965.6203947,967.598388,968.7029817,969.7305107,972.3507097,973.1984212,974.7140265,975.8956848,977.3085372,977.7195489,978.7984543,979.2094659,979.4920364,979.5691011,980.134242,980.2369949,981.1103946,982.3948059,983.550776,983.9617876,984.4755521,986.3764808,988.8425505,989.5104443,990.1269617,990.8462321,991.7196317,992.6187196,994.5453365,995.9838771,997.0884708,998.1159999,998.5526997,999.1949053,999.7600463,1002.971074,1003.741721,1004.306862,1005.565585,1006.207791,1006.618802,1006.772932,1007.67202,1007.980278,1008.365602,1008.725237,1009.161937,1009.290378,1009.470196,1010.600477,1012.681224,1014.32527,1015.91794,1017.664739,1019.642733,1019.899615,1022.365685,1024.189549,1025.679466,1027.374889,1028.196912,1029.789582,1031.151058,1032.666663,1034.901539,1037.007973,1040.630013,1043.609847,1045.176829,1047.257575,1048.92731,1051.598885,1054.039267,1056.942036,1060.101688,1061.797111,1064.134739,1066.087044,1069.47789,1071.918272,1074.127459,1077.235734,1078.263263,1079.75318,1082.989897,1086.534872,1090.799117,1094.549598,1099.327608,1103.797359,1105.492782,1110.758868,1116.615784,1122.087376,1128.329615,1134.828736,1139.606746,1143.203097,1148.417807,1155.661887,1160.439896,1165.834424,1171.383081,1174.542732,1177.651008,1184.638205,1188.696944,1194.913495,1200.102517,1203.159415,1203.159415,1209.196148,1215.207193,1220.60172,1225.739366,1229.207276,1234.396298,1236.014656,1238.917425,1246.572516,1251.478967,1257.490012,1262.858851,1268.433196,1274.675435,1276.216729,1279.710327,1284.745219,1289.292035,1295.534274,1301.23706,1305.218735,1307.17104,1311.101339,1317.292201,1319.090377,1320.503229,1323.611505
Angola,8.854062773,9.584294755,9.979837078,10.52751106,10.52751106,10.52751106,11.74456437,11.74456437,12.04882769,13.93526031,14.05696564,15.39572427,15.97382459,16.46064591,17.52556755,18.46878386,19.41200017,20.90289047,21.45056445,22.78932308,23.70211306,24.70618203,25.892809,26.77517265,27.87052062,28.35734194,28.90501593,30.42633255,32.79958649,33.7428028,34.92942977,35.41625109,36.48117273,38.94570567,40.89299095,42.44473391,45.12225118,46.79569947,47.83019478,50.87282803,51.08581236,52.78968698,53.61119796,55.22379359,56.34956789,57.17107887,57.99258985,58.87495349,59.8181698,61.3090601,62.19142374,62.92165572,64.92979367,66.05556798,67.60731094,69.46331722,70.95420752,73.47959312,75.18346774,77.61757435,79.83869662,80.7514866,83.03346154,84.4939255,85.34586282,87.50613243,89.30128605,90.21407602,90.70089735,92.28306664,94.07822026,97.88151183,99.76794445,101.4718191,103.0844147,104.6361577,108.5915809,111.8167721,115.285374,117.0805277,118.6931233,121.4314932,125.2652111,128.8859447,132.7500889,136.1578382,139.6568664,142.1518257,143.551437,145.9551173,149.2411612,151.2797255,155.6002647,158.5516189,163.3894058,164.3630485,168.257619,174.1907539,174.1907539,181.2800894,183.5012116,190.0428731,193.694033,197.4060456,203.2479015,208.2986727,215.9052558,219.7389737,227.0412935,231.9095067,238.2077576,244.9015507,253.6947608,261.118786,268.6340901,274.6280776,285.4294257,293.4315512,300.3383286,306.5148742,312.448009,321.2412191,328.7565233,335.7545797,341.6268619,352.245652,359.4262665,368.2194766,371.9010628,375.3088121,378.2905927,385.8058968,389.943878,394.1122856,397.1549188,402.479527,406.9217716,409.2645992,414.2545177,420.4310632,423.5954018,430.0457843,434.0924866,438.5347311,440.9688377,445.2589506,448.5449945,450.9486748,453.9608817,456.638399,459.0420793,459.5289006,460.6242485,464.0319978,466.1009884,467.3788944,471.3951703,472.7035026,474.3769509,476.1112518,478.5757848,480.8577597,484.5393459,488.6773272,491.7199604,492.5414714,495.249415,497.8356533,499.2048382,501.5476658,503.9209198,505.8682051,506.415879,507.693785,511.2232396,515.1482365,518.1300171,520.2598604,521.781177,524.5499732,526.2538479,528.5358228,530.4222554,534.0734153
Albania,896.5181736,925.0121621,956.2860518,979.5677253,1005.281812,1029.953437,1055.667524,1079.296685,1107.790673,1139.064563,1171.380916,1200.222392,1240.878449,1274.237265,1303.773716,1338.174995,1357.286816,1392.730558,1421.224547,1449.371047,1490.722079,1514.351241,1551.879908,1588.018625,1611.300299,1655.083745,1695.739801,1736.395858,1773.924526,1805.893391,1833.344916,1875.043436,1917.784419,1952.880673,1998.054069,2046.354854,2090.485788,2137.396622,2180.485093,2227.743415,2271.179373,2319.827646,2368.823407,2422.336507,2473.069706,2522.760442,2564.458962,2605.809994,2659.670582,2714.573633,2768.434221,2821.252346,2875.460421,2928.278546,2990.13135,3043.644451,3102.022378,3156.230454,3195.149072,3224.338036,3259.43429,3305.650149,3337.966502,3380.359997,3420.668566,3463.409549,3510.320384,3563.485996,3615.956634,3667.03732,3719.507957,3773.716033,3829.661547,3886.649524,3945.027452,4003.057891,4055.876016,4105.91424,4151.782612,4195.21857,4248.384182,4303.634721,4355.757871,4401.278755,4443.324762,4489.888109,4532.976579,4570.505247,4607.338939,4653.207311,4697.338244,4742.859129,4797.414692,4852.66523,4905.483355,4957.259017,5007.297241,5062.200292,5118.493293,5177.218709,5235.249149,5292.584613,5350.962541,5410.382931,5473.625686,5544.165682,5633.470012,5733.893947,5828.758079,5926.402113,6028.910974,6133.504761,6236.708597,6341.649871,6447.981097,6552.922371,6656.821183,6756.89763,6855.584127,6963.65279,7059.211898,7170.060463,7253.80499,7367.433456,7478.976996,7611.369796,7748.974911,7895.267218,8065.188686,8237.19508,8411.286399,8593.717423,8789.352978,8965.529224,9107.999166,9278.268121,9463.131559,9670.581694,9879.769268,10120.92571,10367.98944,10641.11474,10931.61443,11187.71284,11384.04337,11660.29606,11918.82688,12142.60894,12370.56085,12594.69039,12784.07117,13074.22337,13267.77399,13556.88373,13801.86253,14073.59789,14351.93551,14645.91007,14937.79971,15179.30363,15440.96185,15702.27257,16005.6293,16284.31441,16589.75606,16863.57634,17093.26569,17374.38321,17595.73285,17869.20564,18070.74849,18257.69685,18417.88866,18564.52846,18699.70116,18874.48746,19051.70616,19243.86684,19374.17472,19547.57106,19658.07214,19857.53006,20059.42039,20264.09062
Andorra,11065.81246,11065.81246,11065.81246,11065.81246,11065.81246,11065.81246,11065.81246,11065.81246,11065.81246,11065.81246,11065.81246,11065.81246,11104.63988,11143.46729,11156.40976,11350.54682,11389.37423,11389.37423,11389.37423,11441.14411,11441.14411,11505.85647,11505.85647,11609.39623,11609.39623,11609.39623,11738.82094,11738.82094,11881.18812,11932.958,11971.78541,11971.78541,11971.78541,12127.09506,12152.98,12152.98,12217.69236,12360.05954,12360.05954,12360.05954,12463.5993,12463.5993,12644.79389,12696.56377,12800.10354,12800.10354,12800.10354,13007.18307,13007.18307,13253.09001,13253.09001,13524.8819,13524.8819,13524.8819,13719.01896,13719.01896,14210.83285,14210.83285,14547.33709,14547.33709,14547.33709,15220.34556,15323.88533,15518.02239,15518.02239,15725.10192,15725.10192,15725.10192,16320.45557,16320.45557,16838.1544,16838.1544,17394.68064,17394.68064,17394.68064,18611.27289,18611.27289,19193.68407,19193.68407,20242.0242,20242.0242,20242.0242,21756.29328,21756.29328,22688.15117,22688.15117,23762.37624,23762.37624,23762.37624,25444.89743,25444.89743,26532.06497,26532.06497,27308.61321,27308.61321,27308.61321,30673.6556,30673.6556,33236.2648,33236.2648,34892.90105,34892.90105,34892.90105,38762.6998,38762.6998,41286.48159,41286.48159,43706.72361,43706.72361,43706.72361,46890.57141,46890.57141,49323.75591,49323.75591,52261.69676,52261.69676,52261.69676,55976.18585,57076.29586,58461.14023,59108.26377,60376.6259,61554.39073,62447.42121,63262.79687,63547.53122,65294.76477,66459.58714,66459.58714,68841.00175,69669.31987,70368.21329,70885.91212,72050.73449,72684.91555,74095.64486,74095.64486,75998.18805,76541.77182,77020.64324,77887.78878,78509.02737,79492.65515,80333.91574,80968.09681,81589.3354,82197.63153,83194.20177,84566.10367,85549.73144,85549.73144,86869.86346,87296.96499,87879.37617,88552.38465,89354.81783,90014.88384,90662.00738,91244.41856,91684.46256,92240.9888,92693.97528,93056.36446,93651.71811,94324.72659,94971.85013,95541.31884,95541.31884,96369.63696,96628.48638,97314.43733,97845.07863,98065.10063,98388.6624,98789.87899,99255.80793,99644.08206,100381.8029,101028.9264,101223.0635,101921.9569,102491.4256,103319.7437,104173.9468
United Arab Emirates,4961.27558,5001.718838,5069.663512,5142.056944,5211.113807,5264.498908,5318.288441,5363.281566,5417.071099,5464.895252,5505.641835,5546.186201,5580.967403,5618.882957,5646.687697,5675.099086,5704.723773,5733.944027,5755.277845,5782.678153,5813.516137,5837.377659,5863.059128,5889.448354,5921.095203,5956.584162,5983.276713,6020.585618,6058.501173,6089.035833,6117.649438,6143.330907,6167.495753,6184.077489,6203.186929,6228.868398,6253.033244,6274.872604,6299.03745,6321.786783,6339.885141,6366.375475,6391.248079,6419.255035,6452.620723,6481.234328,6502.467039,6525.620804,6562.525277,6606.50732,6653.118175,6692.65146,6735.521314,6774.95349,6802.75823,6837.033891,6877.376041,6927.020141,6966.452317,7009.625495,7046.226644,7100.926151,7158.962226,7233.276713,7295.357114,7357.235299,7428.516541,7480.38502,7527.905848,7593.019494,7682.297986,7776.328561,7870.460244,7972.276147,8036.98536,8115.546388,8183.693278,8268.826337,8348.297339,8435.755884,8517.552374,8585.699264,8654.351695,8740.495834,8849.995956,8951.306317,9053.223328,9162.217908,9248.26094,9311.554639,9412.157243,9523.376203,9640.459435,9759.868155,9884.332282,9989.585861,10083.81865,10191.09439,10296.85351,10406.96028,10515.65154,10629.80264,10740.61716,10848.19623,10981.15344,11125.8392,11267.18838,11409.95309,11565.45741,11688.30381,11780.81776,11889.71124,12045.21556,12204.76422,12362.79625,12513.54849,12650.95446,12763.28561,12903.82593,13045.37734,13178.03122,13296.52997,13409.8722,13539.08841,13663.85586,13765.77287,13883.15943,14013.48783,14144.11955,14259.48394,14371.81509,14487.68503,14598.49956,14721.24484,14836.1037,14960.06228,15078.76325,15201.1041,15323.34385,15450.23457,15580.86629,15697.44399,15825.75022,15953.3487,16075.18402,16182.86419,16315.31586,16446.45313,16578.39926,16708.12101,16834.7084,16961.19469,17073.12141,17203.44981,17333.37378,17466.5332,17599.08598,17721.83127,17838.40896,17954.48111,18081.87738,18214.63237,18341.52309,18462.44843,18579.12723,18699.85036,18810.26045,18934.21904,19063.43525,19196.99911,19326.82197,19453.61158,19572.00922,19680.90269,19804.86128,19930.84203,20063.39481,20187.75783,20311.81752,20407.26361,20511.10167,20663.37054,20837.57988,21012.49697
Argentina,1486.798202,1547.511839,1610.460199,1667.766438,1721.731656,1779.967186,1845.880424,1925.622387,2006.669782,2081.167893,2157.480333,2216.269011,2284.837364,2365.486492,2459.212063,2539.684183,2639.649275,2710.961248,2804.576189,2893.500426,3011.741562,3139.673868,3275.239631,3396.777535,3503.291912,3596.04394,3704.239889,3835.645972,3960.458518,4101.555771,4232.740594,4348.702756,4467.651922,4574.387558,4724.667086,4882.801329,5049.033674,5214.580114,5350.300759,5454.027265,5617.073471,5772.906615,5942.457854,6108.35831,6249.190052,6396.61533,6517.622211,6618.450215,6769.791788,6917.880845,7099.866875,7280.392591,7452.067922,7570.486066,7763.269564,7957.336368,8190.765257,8414.325967,8673.575852,8877.798472,9036.817754,9242.788325,9475.19942,9717.102551,9983.189359,10219.58313,10439.16116,10593.73313,10797.62386,11063.73279,11334.97495,11598.38451,11852.98795,12091.4173,12291.79001,12511.03615,12774.15808,13032.45655,13313.47838,13577.77299,13783.0134,13969.55738,14163.86757,14429.9765,14709.31676,15007.28707,15294.23866,15543.1336,15738.74922,15999.99044,16298.18202,16616.61885,16926.40443,17251.36842,17497.60824,17667.27011,17916.01016,18242.14683,18606.05251,18947.98711,19282.06699,19556.73867,19785.1671,19995.89475,20290.28066,20620.66551,20998.93094,21365.02709,21663.94882,21897.6211,22184.86032,22546.33215,22951.81251,23313.01882,23660.79468,23925.59818,24130.3297,24389.46895,24706.0472,25014.12909,25307.67421,25603.69744,25819.31493,25965.54541,26177.91038,26446.63018,26682.31592,26927.91408,27188.69066,27366.51701,27484.47051,27668.49212,27933.49476,28174.22522,28421.21732,28683.60909,28870.97173,28995.87278,29170.51299,29405.51282,29634.11825,29857.52408,30070.11031,30228.08967,30320.66469,30415.03192,30573.5423,30763.67069,30963.75575,31137.35604,31272.28015,31392.46837,31519.16162,31696.98797,31863.66284,32032.46179,32185.1088,32300.18592,32372.71482,32443.49577,32523.37049,32640.70446,32795.45343,32952.81327,33069.50559,33148.22976,33260.23137,33414.6927,33566.10066,33728.19545,33883.12143,34011.34137,34102.41182,34231.91507,34412.04252,34602.01602,34602.01602,34838.52042,34920.67412,35031.9677,35191.62863,35449.39608,35709.70801,35966.0594
Australia,313.7661701,316.3152016,323.9230803,331.0995843,336.589806,343.3349356,348.4722144,355.1389122,367.6095586,374.6291992,384.1978714,391.3743754,402.001876,411.2568212,423.9235469,440.5118596,448.6687605,462.8256893,473.2963264,487.3748234,505.6494185,521.6494932,533.1397429,547.0613765,564.8261653,585.6890077,600.1204476,611.0616752,639.1402376,662.8658385,677.6502212,701.7679808,718.3562935,734.5132316,762.5525782,780.00364,794.9841021,811.6900624,826.8273879,839.101955,851.4941697,867.7295396,876.7884054,891.8472992,903.3375489,913.219948,923.8474485,932.2788604,940.7494882,950.4358079,957.1417216,964.7888161,972.9849328,977.0633832,982.4751731,988.3967694,993.024242,997.9654415,1001.847813,1006.671364,1009.651771,1012.514529,1016.592979,1021.534179,1024.94596,1027.730286,1030.514613,1032.200895,1034.240121,1037.847981,1040.161717,1041.730352,1043.416634,1045.142132,1046.749983,1048.593129,1050.122548,1051.495103,1053.377465,1054.318646,1054.828452,1055.377474,1056.55395,1057.730426,1058.044153,1058.828471,1059.455925,1060.397105,1060.553969,1060.985343,1061.887308,1062.593194,1063.103,1063.573591,1064.122613,1064.632419,1065.612816,1065.926543,1066.90694,1067.691257,1068.397143,1069.142244,1070.004993,1070.98539,1072.044219,1072.828536,1073.377558,1073.652069,1074.12266,1074.475602,1074.710898,1076.201101,1076.789339,1077.495224,1078.240326,1078.946212,1079.416802,1079.965824,1080.514846,1080.985437,1081.534459,1081.769754,1082.161913,1082.397208,1082.750151,1083.220741,1083.534468,1084.08349,1084.397217,1084.632513,1084.907024,1085.063887,1085.142319,1085.299182,1085.338398,1085.573693,1086.710954,1088.201157,1088.5541,1089.299201,1089.612928,1089.887439,1090.436461,1091.024699,1091.534506,1091.887448,1092.279607,1092.750198,1093.063924,1093.573731,1093.809026,1094.201185,1094.593343,1095.024718,1095.652172,1096.044331,1096.318842,1096.671784,1096.946296,1097.534534,1097.769829,1098.04434,1098.475714,1099.024737,1099.220816,1099.495327,1099.926702,1100.397292,1100.867882,1101.691416,1102.985539,1104.632606,1105.809082,1106.632615,1107.338501,1108.318898,1108.789488,1109.691453,1110.122828,1111.260088,1111.730678,1112.985586,1113.926767,1114.711084
Austria,1984.477705,1992.027891,2004.130396,2016.899094,2029.667792,2039.105525,2045.323326,2055.538284,2066.863564,2077.300586,2085.516966,2098.174631,2103.837271,2111.942619,2126.709895,2139.589625,2158.354059,2173.232368,2182.337005,2192.107834,2201.434535,2212.759815,2231.635282,2244.403979,2258.171967,2273.050275,2282.599041,2295.811867,2315.02043,2326.678806,2346.109433,2355.21407,2365.429028,2374.422633,2385.08172,2394.519453,2408.953633,2424.609167,2433.713804,2446.371469,2454.476816,2469.910286,2491.450524,2508.660508,2539.971576,2573.614319,2594.82146,2613.030734,2645.785219,2674.098419,2712.626577,2749.37822,2782.687866,2803.895008,2830.764789,2854.192574,2890.500089,2926.918636,2952.344999,2996.2027,3016.29952,3046.500266,3069.150826,3105.458341,3150.204299,3189.842778,3229.59229,3250.022206,3282.221531,3339.958252,3395.696394,3469.421745,3533.820394,3630.307337,3681.715225,3724.129508,3808.958074,3894.230769,3980.83585,4070.549831,4160.818973,4229.769941,4292.281045,4363.896785,4439.509682,4531.888435,4607.834429,4687.111387,4760.614674,4822.348552,4889.967134,4975.683958,5072.615029,5149.005152,5266.477172,5345.75413,5429.028247,5531.510926,5645.763013,5780.000888,5905.578255,6042.702967,6142.187778,6250.888257,6365.029312,6514.478593,6686.800497,6815.930894,7009.904068,7195.549831,7320.016877,7489.229881,7706.63084,7976.994138,8262.457808,8663.728016,8972.619471,9245.314443,9560.090602,9936.933736,10431.35992,11056.13786,11650.04885,12200.32421,12659.44217,13123.77865,13890.01155,14713.42601,15431.13786,16346.15385,17004.90762,17625.91046,18305.42725,19139.72286,20168.10268,21232.45692,22016.67703,22645.67419,23162.75093,23827.16735,24614.49636,25391.16628,26131.52869,26865.56227,27445.81631,27795.01244,28281.00018,28925.20874,29538.77243,30088.82572,30607.23486,31056.58199,31361.69835,31698.45887,32139.47859,32580.16522,33003.75289,33386.14763,33690.48676,33941.75253,34205.67596,34531.22224,34829.45461,35150.67063,35510.52585,35803.76177,36091.11299,36382.90549,36678.69515,36954.61006,37186.1121,37441.04193,37623.68982,37792.34766,37998.09025,38234.69977,38550.80831,38756.32883,38914.99378,39071.32706,39248.09025,39455.49831,39738.63031,40062.06697
